Ciudad;Region
Piedecuesta;ORIENTAL
Pereira;EJE CAFETERO
Tocaima;CENTRAL
Soacha;CENTRAL
Neiva;CENTRAL
Girón;ORIENTAL
Ibagué;EJE CAFETERO
Bucaramanga;ORIENTAL
Zipaquirá;CENTRAL
Medellín;ANTIOQUIA
Cali;SUR OCCIDENTE
Armenia;EJE CAFETERO
Tunja;CENTRAL
Valledupar;CARIBE
Puerto Colombia;CARIBE
Palmira;SUR OCCIDENTE
Chía;CENTRAL
Bello;ANTIOQUIA
Tenjo;CENTRAL
Manizales;EJE CAFETERO
Sopó;CENTRAL
Barranquilla;CARIBE
Flandes;EJE CAFETERO
Cartagena;CARIBE
Girardot;CENTRAL
Bogotá;BOGOTÁ
Funza;CENTRAL
La Calera;CENTRAL
Santa Marta;CARIBE
Ricaurte;CENTRAL
Rionegro;ANTIOQUIA
Cajicá;CENTRAL
Guasca;CENTRAL
Cota;CENTRAL
Jamundí;SUR OCCIDENTE
Paipa;CENTRAL
Floridablanca;ORIENTAL
Mosquera;CENTRAL
Nemocón;CENTRAL
El Cerrito;SUR OCCIDENTE
Itagüí;ANTIOQUIA
Villeta;CENTRAL
Madrid;CENTRAL
Soledad;CARIBE
Santa Rosa de Cabal;EJE CAFETERO
Melgar;EJE CAFETERO
La Unión;ANTIOQUIA
Villavicencio;CENTRAL
Tocancipá;CENTRAL
